id,section,topic,status,reason,duplicate_of
TCS_LOG_001,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_002,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_004,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_005,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_006,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_007,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_008,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_009,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_010,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_011,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_012,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_013,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_014,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_015,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_016,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_017,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_018,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_020,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_021,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_022,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_023,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_024,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_025,Logical Reasoning,Series,KEPT,curated_representative,
TCS_LOG_026,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_028,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_029,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_030,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
TCS_LOG_031,Logical Reasoning,Coding-Decoding,KEPT,curated_representative,
