id,section,difficulty,topic,question,A,B,C,D,answer
TCS_LOG_102,Logical Reasoning,EASY,Analogies,Brick : House :: Page : ?,Book,Pen,Paper,Ink,A
TCS_LOG_103,Logical Reasoning,EASY,Analogies,Smile : Happy :: Frown : ?,Angry,Sad,Bored,Shocked,B
TCS_LOG_105,Logical Reasoning,EASY,Analogies,Biologist : Life :: Astronomer : ?,Stars,Rocks,Water,Air,A
TCS_LOG_106,Logical Reasoning,EASY,Analogies,Scissors : Tailor :: Scalpel : ?,Surgeon,Engineer,Teacher,Lawyer,A
TCS_LOG_107,Logical Reasoning,EASY,Analogies,Ruminant : Cow :: Carnivore : ?,Lion,Deer,Elephant,Horse,A
TCS_LOG_108,Logical Reasoning,EASY,Analogies,Library : Books :: Gallery : ?,Paintings,Sculptures,Films,Plays,A
TCS_LOG_112,Logical Reasoning,EASY,Analogies,Marathon : Stamina :: Sprint : ?,Speed,Endurance,Strength,Flexibility,A
TCS_LOG_113,Logical Reasoning,EASY,Analogies,Myopia : Eye :: Arthritis : ?,Joints,Lungs,Heart,Brain,A
TCS_LOG_114,Logical Reasoning,EASY,Analogies,Ophthalmology : Eyes :: Cardiology : ?,Heart,Lungs,Brain,Liver,A
TCS_LOG_115,Logical Reasoning,EASY,Analogies,Antonym : Opposite :: Synonym : ?,Similar,Same,Different,Contrasting,B
TCS_LOG_120,Logical Reasoning,EASY,Analogies,Telescope : Distant :: Microscope : ?,Tiny,Huge,Bright,Moving,A
TCS_LOG_109,Logical Reasoning,HARD,Analogies,Moon : Orbit :: Earth : ?,Rotate,Shine,Reflect,Orbit,D
TCS_LOG_110,Logical Reasoning,HARD,Analogies,Carbon : Diamond :: Sand : ?,Glass,Brick,Metal,Stone,A
TCS_LOG_118,Logical Reasoning,HARD,Analogies,Malaria : Mosquito :: Plague : ?,Rat flea,Housefly,Tsetse fly,Anopheles,A
TCS_LOG_111,Logical Reasoning,MEDIUM,Analogies,Democracy : Republic :: Monarchy : ?,Kingdom,Senate,Parliament,Committee,A
TCS_LOG_116,Logical Reasoning,MEDIUM,Analogies,Chlorophyll : Green :: Carotene : ?,Orange,Yellow,Red,Blue,A
TCS_LOG_117,Logical Reasoning,MEDIUM,Analogies,Vertebrae : Spine :: Ribs : ?,Ribcage,Skull,Pelvis,Sternum,B
TCS_LOG_119,Logical Reasoning,MEDIUM,Analogies,Neurology : Brain :: Nephrology : ?,Kidneys,Bones,Heart,Lungs,A
TCS_LOG_052,Logical Reasoning,EASY,Blood Relations,"If P is Q's father, Q is R's mother, R is S's sibling, then P is S's?",Grandfather,Father,Uncle,Grandmother,A
TCS_LOG_060,Logical Reasoning,EASY,Blood Relations,A boy says 'That man is the husband of my mother's sister.' The man is the boy's ___,Uncle,Father,Cousin,Brother,A
TCS_LOG_048,Logical Reasoning,HARD,Blood Relations,"A + B means A is mother of B; A − B means A is brother of B; A × B means A is father of B; A ÷ B means A is sister of B. If P × Q + R, then P is R's?",Grandfather,Father,Grandmother,Maternal uncle,A
TCS_LOG_053,Logical Reasoning,HARD,Blood Relations,A woman pointing to a photo says 'This man's son is my son's father.' Who is the man in the photo to the woman?,Father-in-law,Father,Uncle,Husband,A
